904;538,0.23615,326,0.52681,180,0.87545,120,1.25539,105,1.64541,93,2.04233,55,2.46414,49,2.89447,48,3.32636,39,3.76687,4,4.27731,3,4.79038,2,5.30823,1,5.8305,0,6.35813,4966,6.88044,2450,6.92893,1835,7.0117,945,7.18193,469,7.43319,277,7.74257,257,8.05944,40,8.49808,35,8.9441,34,9.3908,32,9.83853
1174;929,0.17203,286,0.47803,264,0.79242,175,1.14338,159,1.50236,122,1.88127,108,2.26939,29,2.72192,21,3.18663,7,3.68391,5,4.18805,4,4.69878,3,5.21185,2,5.7297,1,6.25198,0,6.77961,4966,7.30191,2450,7.3504,1835,7.43317,945,7.6034,469,7.85466,277,8.16404,257,8.48091,48,8.91259,39,9.35309,4844,9.79202,2603,9.83355,2566,9.87701,1588,9.97887
3037;2975,0.02861,2707,0.06634,1842,0.14848,899,0.32451,147,0.68889,128,1.06332,82,1.46531,51,1.89219,28,2.34593,24,2.80498,23,3.26468,20,3.73111,19,4.1987,15,4.67541,10,5.16349,8,5.6571,3,6.17007,2,6.68792,1,7.2102,0,7.73783,4966,8.26013,2450,8.30862,1835,8.39139,945,8.56162,469,8.81288,277,9.12226,257,9.43913,48,9.87081
1425;681,0.20971,431,0.47297,195,0.81241,150,1.17576,51,1.60253,28,2.05628,24,2.51532,23,2.97503,20,3.44146,19,3.90905,15,4.38576,10,4.87384,8,5.36745,3,5.88042,2,6.39827,1,6.92054,0,7.44817,4966,7.97048,2450,8.01897,1835,8.10174,945,8.27197,469,8.52323,277,8.83261,257,9.14948,48,9.58115
3610;1496,0.1093,884,0.28749,81,0.68977,58,1.10886,51,1.53585,28,1.98959,24,2.44864,23,2.90834,20,3.37477,19,3.84236,15,4.31907,10,4.80715,8,5.30077,3,5.81374,2,6.33158,1,6.85386,0,7.38149,4966,7.90379,2450,7.95228,1835,8.03505,945,8.20528,469,8.45655,277,8.76593,257,9.08279,48,9.51447,39,9.95498
4089;2939,0.02956,875,0.20894,649,0.42395,113,0.80819,94,1.20456,89,1.60359,66,2.01614,49,2.44645,48,2.87833,39,3.31884,4,3.82928,3,4.34235,2,4.8602,1,5.38248,0,5.91011,4966,6.43241,2450,6.4809,1835,6.56367,945,6.7339,469,6.98517,277,7.29455,257,7.61141,40,8.05005,35,8.49607,34,8.94278,32,9.39051,10,9.87851
4298;3017,0.02713,2301,0.08353,2022,0.15417,1588,0.25609,811,0.44472,734,0.64531,507,0.88855,430,1.1525,326,1.44318,180,1.79183,120,2.17177,105,2.56178,93,2.9587,55,3.38051,49,3.81085,48,4.24273,39,4.68324,4,5.19368,3,5.70675,2,6.2246,1,6.74688,0,7.27451,4966,7.79681,2450,7.8453,1835,7.92807,945,8.0983,469,8.34956,277,8.65894,257,8.97581,40,9.41445,35,9.86047
1563;639,0.21685,185,0.56204,128,0.93644,82,1.33843,51,1.7653,28,2.21905,24,2.67809,23,3.1378,20,3.60423,19,4.07182,15,4.54853,10,5.03661,8,5.53022,3,6.04319,2,6.56104,1,7.08331,0,7.61095,4966,8.13325,2450,8.18174,1835,8.26451,945,8.43474,469,8.686,277,8.99538,257,9.31225,48,9.74392
1679;657,0.21411,507,0.45738,430,0.72133,326,1.01201,180,1.36065,120,1.74059,105,2.13061,93,2.52753,55,2.94934,49,3.37967,48,3.81156,39,4.25207,4,4.76251,3,5.27558,2,5.79343,1,6.31571,0,6.84334,4966,7.36564,2450,7.41413,1835,7.4969,945,7.66713,469,7.91839,277,8.22777,257,8.54464,40,8.98328,35,9.4293,34,9.876
1122;519,0.23977,377,0.51708,370,0.79637,63,1.21162,39,1.6521,4,2.16254,3,2.67562,2,3.19346,1,3.71574,0,4.24337,4966,4.76567,2450,4.81416,1835,4.89693,945,5.06717,469,5.31843,277,5.62781,257,5.94468,48,6.37635,35,6.82234,34,7.26905,32,7.71678,10,8.20478,8,8.69839,4972,9.18932,1524,9.29619,1459,9.40894,688,9.61762,610,9.83919
177;126,0.37548,80,0.77818,45,1.21255,20,1.67892,19,2.14651,15,2.62322,10,3.1113,8,3.60492,3,4.11788,2,4.63573,1,5.15801,0,5.68564,4966,6.20794,2450,6.25643,1835,6.3392,945,6.50943,469,6.7607,277,7.07007,257,7.38694,48,7.81862,39,8.25913,4,8.76957,4970,9.27375,4345,9.27694,836,9.46168,795,9.65293,633,9.87052
3085;1551,0.10473,1089,0.25625,572,0.48689,45,0.92107,20,1.38745,19,1.85503,15,2.33175,10,2.81982,8,3.31344,3,3.82641,2,4.34425,1,4.86653,0,5.39416,4966,5.91646,2450,5.96495,1835,6.04772,945,6.21796,469,6.46922,277,6.7786,257,7.09547,48,7.52714,39,7.96765,4,8.47809,4970,8.98228,4345,8.98547,836,9.1702,795,9.36145,633,9.57904,597,9.80391
1713;1299,0.12981,173,0.48156,43,0.91741,17,1.38892,9,1.87977,5,2.38388,4,2.89461,3,3.40768,2,3.92553,1,4.4478,0,4.97543,4966,5.49774,2450,5.54623,1835,5.629,945,5.79923,469,6.05049,277,6.35987,257,6.67674,48,7.10841,39,7.54892,4844,7.98785,2603,8.02938,2566,8.07283,1588,8.17469,811,8.36333,734,8.56391,507,8.80716,430,9.07111,326,9.36179,180,9.71043
1119;616,0.22025,465,0.4727,217,0.80473,148,1.16877,65,1.58231,41,2.02015,26,2.47725,21,2.94202,7,3.43929,5,3.94343,4,4.45416,3,4.96723,2,5.48508,1,6.00736,0,6.53499,4966,7.05729,2450,7.10578,1835,7.18855,945,7.35878,469,7.61004,277,7.91942,257,8.23629,48,8.66797,39,9.10848,4844,9.5474,2603,9.58893,2566,9.63239,1588,9.73425,811,9.92288
433;148,0.36396,65,0.7775,41,1.21534,26,1.67244,21,2.1372,7,2.63448,5,3.13862,4,3.64935,3,4.16242,2,4.68027,1,5.20254,0,5.73018,4966,6.25248,2450,6.30097,1835,6.38374,945,6.55397,469,6.80523,277,7.11461,257,7.43148,48,7.86315,39,8.30366,4844,8.74259,2603,8.78412,2566,8.82757,1588,8.92943,811,9.11807,734,9.31865,507,9.5619,430,9.82585
